user_id,manager_id,name,email_address,start_date,last_login
64,3,Ashley Davis,htrspbkcq@redacted.io,2024-02-08,2025-02-25
65,1,Jeffrey Anderson,rvstthtyvg@sample.org,2021-03-08,2025-02-08
66,3,William Taylor,zsbikltzv@example.com,2023-10-20,2025-01-22
67,8,Anthony Robinson,zsztxerce@test.com,2022-04-03,2025-02-21
68,5,Donald Clark,utjcggsmor@example.com,2021-03-22,2025-01-28
69,9,Cynthia Rodriguez,scdlwsjqwt@sample.org,2022-06-02,2025-02-04
70,4,Jennifer Rivera,lnsxanseu@test.com,2024-02-09,2025-04-02
71,2,Lisa Ramirez,txfkxkxnl@test.com,2022-09-23,2025-02-07
20,4,Mary Robinson,plfgu@test.com,2022-08-01,2025-02-09
72,5,Stephanie Davis,bxpste@test.com,2023-03-06,2025-01-14
22,9,Christopher Campbell,kdifbxxy@redacted.io,2023-05-29,2025-03-29
73,1,Christopher Taylor,nverlbu@example.com,2022-03-15,2025-01-19
74,8,Elizabeth Jackson,bejzcyj@example.com,2024-05-29,2025-04-06
75,5,Laura Garcia,vqysn@demo.net,2020-12-02,2025-03-05
76,4,Michelle Jackson,bbufkoqhty@demo.net,2020-12-07,2025-03-17
77,4,Michelle Miller,pwvwuqum@demo.net,2022-11-09,2025-01-08
32,8,Jeffrey Rodriguez,jfwniphmlf@example.com,2022-11-20,2025-02-15
78,5,Mary Martin,fclxesd@demo.net,2024-06-26,2025-02-13
79,3,Andrew Moore,jaxrl@redacted.io,2022-06-18,2025-03-18
80,10,Joshua Clark,knkpwakxq@test.com,2023-10-21,2025-01-25
81,8,Rebecca Martinez,ykgdji@redacted.io,2024-09-25,2025-03-05
82,4,John Williams,dbfwwtxpzy@test.com,2023-07-22,2025-02-04
83,5,Kevin Lopez,xjarigu@redacted.io,2025-02-20,2025-02-08
84,7,Timothy Nelson,smlobm@sample.org,2020-05-31,2025-01-29
85,9,Kevin Harris,rjrdz@redacted.io,2021-11-26,2025-03-20
86,5,Joseph Hill,gzhnontj@demo.net,2021-08-10,2025-04-05
87,4,Thomas Smith,mursb@test.com,2020-12-03,2025-03-30
